accountCreation,SavingsAccountCreation,CreateStandingInstruction,savingsAccountCreationDate,creditCardAccountCreation,creditCardCreationDate,transaction,day,month,year,amount,interestPosting,statementGeneration,Standinginstruction,AchProcessing,reference,creditProduct,creditCardProductId,clientEnvironment,savingsProductId,InterestPostingJob,StatementGenerationJob,StandinginstructionJob,clientId,instructionType
yes,yes,no,07 October 2023,yes,07 October 2023,,7,10,2024,,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16169,1
no,no,no,NA,NA,NA,purchase,10,10,2024,500,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16169,1
no,no,no,NA,NA,NA,InternationalPOS,12,10,2024,500,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16169,1
no,no,no,NA,NA,NA,PURCHASE_INTERNATIONAL_FEE,12,10,2024,10,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16169,1
no,no,no,NA,NA,NA,cashAdvance,12,10,2024,200,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16169,1
no,no,no,NA,NA,NA,DOMESTIC_ATM_WITHDRAWAL_FEE,12,10,2024,10,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16169,1
no,no,no,NA,NA,NA,DIRECT_DEPOSIT_CASH_ADVANCE,15,10,2024,200,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16169,1
no,no,no,NA,NA,NA,InternationalATM,20,10,2024,200,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16169,1
no,no,no,NA,NA,NA,INTERNATIONAL_ATM_WITHDRAWAL_FEE,20,10,2024,10,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16169,1
no,no,no,NA,NA,NA,,1,11,2024,,yes,yes,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16169,1
